City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
463,taltal,0,CL,1525145954,97,-25.41,-70.49,54.09,0.69
464,kathu,68,ZA,1525145954,70,-27.7,23.05,52.38,8.41
465,sao joao dos patos,32,BR,1525145955,92,-6.5,-43.7,74.07,3.38
466,pevek,12,RU,1525145955,100,69.7,170.27,24.12,10.98
467,osakarovka,0,KZ,1525145955,75,50.56,72.58,45.72,9.53
468,lavrentiya,44,RU,1525145758,100,65.58,-170.99,22.32,23.85
469,gunjur,5,GM,1525143600,93,13.18,-16.76,66.2,3.36
470,esna,0,RO,1525145956,86,45.2,27.57,48.33,1.7
471,ust-maya,24,RU,1525145678,42,60.42,134.54,43.11,6.17
472,sistranda,0,NO,1525143000,60,63.73,8.83,39.2,13.87
473,sisimiut,76,GL,1525145958,100,66.94,-53.67,16.65,1.7
474,el real de santa maria,48,PA,1525145959,100,8.11,-77.73,77.49,3.49
475,marystown,8,CA,1525145959,98,47.17,-55.16,37.71,7.63
476,hualmay,36,PE,1525145799,95,-11.1,-77.61,66.06,5.5
477,mount isa,0,AU,1525143600,33,-20.73,139.49,86.0,16.11
478,acapulco,40,MX,1525142880,69,16.86,-99.88,82.4,4.7
479,ayagoz,92,KZ,1525145962,60,47.96,80.43,60.84,16.58
480,sabang,44,PH,1525145962,95,13.72,123.58,82.62,4.61
481,badarwas,0,IN,1525145963,46,24.97,77.57,83.52,4.61
482,ridgecrest,20,US,1525143360,26,35.62,-117.67,62.6,12.75
483,frankfort,1,US,1525143300,57,38.2,-84.87,57.2,4.72
484,broome,92,GB,1525143360,86,52.47,1.45,39.2,13.87
485,haines junction,20,CA,1525145712,55,60.75,-137.51,39.15,2.93
486,sao sebastiao,88,BR,1525145966,100,-3.15,-58.36,72.81,1.59
487,pouebo,0,NC,1525145967,69,-20.4,164.57,77.85,12.66
488,puerto escondido,20,MX,1525142460,70,15.86,-97.07,86.0,6.96
489,bud,48,NO,1525143000,93,62.91,6.91,44.6,14.99
490,tarko-sale,0,RU,1525145968,89,64.92,77.78,12.96,14.23
491,black diamond,75,CA,1525143600,70,50.69,-114.23,50.0,9.17
492,beyneu,0,KZ,1525145969,41,45.32,55.19,52.11,2.93
493,macklin,0,CA,1525145969,36,52.34,-109.94,47.79,4.16
494,urubicha,20,BO,1525145970,95,-15.63,-63.08,73.98,2.15
495,hovd,0,NO,1525143000,52,63.83,10.7,41.0,6.93
496,port-cartier,75,CA,1525143600,91,50.03,-66.88,37.4,6.93
497,fukue,75,JP,1525143600,68,35.03,136.69,69.8,4.7
498,kjollefjord,80,NO,1525145972,97,70.95,27.35,30.33,4.72
499,vyazma,8,RU,1525145972,90,55.21,34.3,49.59,7.18
500,skjervoy,0,NO,1525145973,100,70.03,20.97,31.95,6.17
501,raudeberg,68,NO,1525143000,61,61.99,5.14,48.2,6.93
502,burnie,0,AU,1525145974,100,-41.05,145.91,60.3,10.98
503,buenaventura,88,CO,1525145975,98,3.89,-77.07,69.66,1.7
504,vila do maio,0,CV,1525140000,77,15.13,-23.22,68.0,19.46
505,soto la marina,92,MX,1525145975,77,23.77,-98.21,77.22,10.65
506,libreville,20,GA,1525145400,88,0.39,9.45,80.6,8.05
507,douglas,90,US,1525143840,87,58.28,-134.39,46.4,9.17
508,ofunato,0,JP,1525143600,41,39.11,141.75,75.2,11.41
509,karratha,0,AU,1525145977,29,-20.74,116.85,90.45,4.94
510,berlevag,68,NO,1525145978,100,70.86,29.09,29.52,5.5
511,dudinka,56,RU,1525145978,95,69.41,86.18,11.34,19.48
512,shache,0,CN,1525145975,33,38.42,77.24,63.36,4.5
513,traverse city,1,US,1525144560,31,44.76,-85.62,66.2,17.69
514,aguas verdes,90,EC,1525143600,83,-3.48,-80.25,77.0,4.7
515,ingham,88,AU,1525145981,98,-18.65,146.16,75.51,13.78
516,biloela,44,AU,1525145981,49,-24.4,150.51,75.96,11.77
517,souillac,0,FR,1525143600,93,45.6,-0.6,46.4,0.92
518,tahmek,40,MX,1525142640,65,20.88,-89.25,78.8,10.29
519,auki,0,NG,1525145984,67,12.18,6.51,79.02,10.2
520,san cristobal,90,EC,1525143600,93,-0.39,-78.55,53.6,1.12
521,isoka,0,ZM,1525145985,95,-10.15,32.64,59.04,5.73
522,ahmadpur sial,0,PK,1525143420,42,30.68,71.77,86.0,6.93
523,carman,1,CA,1525144500,107,49.51,-98.0,37.4,23.04
524,kyaikkami,88,MM,1525145986,98,16.08,97.57,78.3,4.5
525,utrecht,75,NL,1525143300,87,52.09,5.11,44.6,36.91
526,bubaque,0,GW,1525145987,100,11.28,-15.83,77.76,12.44
527,morant bay,20,JM,1525143600,88,17.88,-76.41,80.6,6.93
528,carballo,48,ES,1525143600,100,43.21,-8.69,37.4,4.7
529,copiapo,0,CL,1525143600,87,-27.37,-70.33,53.6,5.82
530,souris,90,CA,1525143600,93,46.36,-62.25,44.6,6.93
531,lahaina,40,US,1525143360,69,20.87,-156.68,75.2,6.62
532,sibolga,48,ID,1525145993,84,1.74,98.78,78.39,2.15
533,orebro,92,SE,1525143000,100,59.27,15.21,41.0,13.87
534,kholm,36,RU,1525145994,97,57.15,31.18,55.8,8.08
535,saurimo,0,AO,1525145994,63,-9.66,20.4,59.85,4.5
536,makakilo city,1,US,1525143420,57,21.35,-158.09,78.8,18.34
537,ouadda,32,CF,1525145995,64,8.07,22.4,76.32,7.07
538,grindavik,75,IS,1525143600,100,63.84,-22.43,33.8,11.41
539,banjar,48,ID,1525145996,56,-7.37,108.54,84.24,2.71
540,el dorado,56,VE,1525145997,90,6.71,-61.64,73.26,3.04
541,mehamn,80,NO,1525145997,97,71.03,27.85,30.33,4.72
542,pacific grove,75,US,1525143300,66,36.62,-121.92,53.6,11.41
543,cavalcante,0,BR,1525145998,83,-13.79,-47.46,64.53,4.61
544,adrar,0,DZ,1525143600,14,27.87,-0.29,69.8,10.29
545,sao joao da barra,0,BR,1525145999,100,-21.64,-41.05,77.85,18.25
546,santa lucia,40,IT,1525143300,100,39.93,9.66,53.6,9.17
547,otane,80,NZ,1525146001,83,-39.89,176.62,61.02,3.04
